id,name,city,country,count,normaldist
440,Arthur Underwood,Huechuraba,Norway,3153,11.5183972810
441,Amela Leach,Gangneung,Singapore,2262,10.5619089716
442,Chaney Sellers,Bendigo,China,55080,11.0264158655
443,Brenna Sanders,Jeongeup,Ireland,91095,11.5246949873
444,Alden Austin,Höchst,Brazil,38827,9.0391771915
445,Alexander Chandler,Gliwice,Russian Federation,13891,7.8867287786
446,Cullen Allison,Nagar,Austria,69855,10.8557953949
447,Genevieve Ward,Suarlee,Austria,71412,6.1277595821
448,Raymond Nieves,Tianjin,India,10660,8.7792845995
449,Dahlia Barton,Haveli,Australia,56937,9.8313736333
450,Maggy Higgins,Lambayeque,South Africa,83772,6.5808038506
451,Gay Foster,Vezirköprü,New Zealand,52853,12.7886299551
452,Sybil Mcguire,Ngô Đồng,Peru,77673,8.1234475041
453,Abra Ramirez,Richmond,Peru,12617,11.3599389179
454,Dustin Chan,Sparwood,United States,10750,7.7079658075
455,Dylan Warner,Bruck an der Mur,South Africa,62742,11.5913036181
456,Susan Duran,Port Harcourt,Costa Rica,31141,7.6325082185
457,Louis Dunn,Mérida,New Zealand,5946,7.8229701239
458,Rachel Conley,Münster,Costa Rica,22451,10.8245521948
459,Holmes Gates,Cereté,Pakistan,19076,8.8124131561
460,Scarlett Robertson,Dera Ismail Khan,South Africa,1991,8.9575791955
461,Dominique Hammond,Kurnool,China,69899,10.0238378962
462,Ali Mckinney,Mandi Bahauddin,Singapore,4976,12.9320814226
463,Burke Stark,Hamburg,United Kingdom,99337,11.4758651642
464,Jemima Buckley,Khammam,Peru,61391,10.0965391556
465,Anjolie Ayers,Namyangju,New Zealand,32810,11.8651690961
466,Jorden Manning,Dunedin,India,35396,9.6405863928
467,Barbara Hendricks,Gary,Peru,35046,8.5104929508
468,Darrel Terry,Mödling,India,4377,10.1017016256
469,Clayton Nichols,Tarakan,Russian Federation,11352,10.2432188234
470,Brenden Ortiz,Ghanche,Nigeria,38465,12.9289220429
471,Neil Atkinson,Koronadal,Chile,88240,11.8963054831
472,Larissa Ortega,Istanbul,Turkey,14031,9.5126128153
473,Harding Wolf,Boca del Río,Indonesia,38797,9.0344877787
474,Josiah Calderon,Morrinsville,Belgium,64714,9.8826852184
475,Connor Reed,Penrith,Ireland,61709,9.5723646249
476,Neil Gonzalez,Tijuana,Singapore,20056,9.4039155789
477,Moses Skinner,Vandoeuvre-lès-Nancy,Canada,11613,8.3198123950
478,Beau Padilla,Erlangen,Singapore,18039,10.8533250432
479,Malachi Walsh,Kufstein,Vietnam,87960,9.2988970219
480,Cade Silva,Tuguegarao,Pakistan,38954,8.1349384734
481,Gregory Bernard,Roux,Italy,33153,8.0113689334
482,Bruce Melton,Sukkur,Canada,96089,8.0976341605
483,Ahmed Kemp,Cinco Esquinas,Indonesia,10118,10.3421670914
484,Quamar Bruce,Bollnäs,Peru,79472,10.0793055459
485,Hector Duke,Oban,Indonesia,90648,9.0597450487
486,Larissa Bowers,Klerksdorp,Philippines,58278,9.7267270510
487,Isaac Allen,Puntarenas,Peru,52748,10.3078709454
488,Macaulay Cole,Helena,Spain,1207,8.2274849612
489,Quamar Bradley,Forbach,Pakistan,94890,9.1986296460
490,Bertha Byers,Maisires,Italy,80432,7.5463521863
491,Kimberly Barlow,Vienna,Norway,97325,10.5324553216
492,Colleen Warren,Le Havre,Ireland,25743,8.2040222840
493,Talon Gill,Los Vilos,United Kingdom,6965,10.1005907182
494,Breanna Russell,Lumaco,Philippines,86235,7.9825587902
495,Brenden Wiggins,Kristiansand,United Kingdom,80153,10.9512918358
496,Chava Carr,Albany,Pakistan,68228,10.8806136098
497,Jerry Harris,Redlands,China,54698,11.7367740629
498,Brady Holt,San Juan de Girón,Singapore,22111,9.7893878304
499,Alvin Sweeney,Radom,Philippines,99124,8.0511461858
500,Skyler Love,Lebach,Belgium,54608,7.8538555472
